arthritis|reumatyzm, zapalenie stawÛw|-
epilepsy|padaczka, epilepsja|-
blister|bπbel, pÍcherz|-
swollen|spuchniÍty, wezbrany|-
depend upon|polegaÊ na kimú/czymú, zaleøeÊ od kogoú/czegoú|-
external |zewnÍtrzny, niezaleøny|-
properly |prawid≥owo, odpowiednio|-
free weights|wolne ciÍøary|sztangi, hantle-
facilities |zaplecze, wyposaøenie|-
course|tor, pole|-
court|boisko, kort|-
pitch|miotacz, rzucaÊ pi≥kÍ|-
rink|lodowisko, tor|-
mayhem|chaos, zamÍt|-
insanity|ob≥Íd, szaleÒstwo|-
venue|miejsce, lokalizacja|-
manuscript|manuskrypt, rÍkopis|-
whodunnit|krymina≥, powieúÊ kryminalna|-
perks|korzyúÊ, úwiadczenie|-
welfare|dobro, zasi≥ek|-
post|stanowisko, posada|-
vowel|samog≥oska|-
diarrhoea|biegunka|-
constipation|zatwardzenie|-
pronounce|wymawiaÊ|-
stroke|udar|-
triple bypass|pomostowanie aortalno-wieÒcowe|-
hepatitis|øÛ≥taczka|-
sprain|skrÍciÊ|-
pneumonia|zapalenie p≥uc|-
cough|kaszleÊ|-
rheumatism|reumatyzm|-
sneeze|kichaÊ|-
rash|wysypka|-
sore throat|bolπce gard≥o|-
temperature|gorπczka|-
earache|bÛl ucha|-
chest pains |bÛl w klatce piersiowej|-
toothache|bÛl zÍba|-
My ankle is swollen|Moja kostka jest spuchniÍta|-
dizzy|zawroty g≥owy|-
shivers|dreszcze|-
itch|swÍdzieÊ|-
hangover|kac|-
hay fever|katar sienny|-
bruise|siniak|-
indigestion|niestrawnoúÊ|k≥opoty z trawieniem-
injection|zastrzyk|-
health insurance|ubezpieczenie zdrowotne|-
plaster cast|gibs|-
to throw up|wymiotowaÊ|-
twist|skrÍciÊ|-
increasingly|coraz (bardziej lub czÍúciej)|-
ground-breaking|prze≥omowy|-
accurate|dok≥adny|-
air-conditioning|klimatyzacja|-
paragliding|paralotniarstwo|-
spectator|widz|-
net|siatka|-
track|bieønia|-
pursuit|pogoÒ|-
diversion|rozrywka|-
commitment|zaangaøowanie|-
obedience|pos≥uszeÒstwo|-
enclosed|ogrodzony|-
sedentary|siedzπcy|-
undemanding|niewymagajπcy|-
intramural|uczelniany|-
interscholastic|miÍdzyszkolny|-
bustling|wybuchowy|-
sketch|szkic|-
watercolour painting|akwarela|-
self-portrait|autoportret|-
canvas|p≥Ûtno|-
temporary|tymczasowy|-
display|ekspozycja|-
devoted|oddany|-
exhibition|wystawa|-
entrance|wejúcie|-
insufficient|niewystarczajπcy|-
preferable|lepszy|-
dithered|niepe≥ny (o kolorze)|-
high-fidelity|wysoka wiernoúÊ|-
degradation in image quality|pogorszenie siÍ jakoúci obrazu|-
sanity|zdrowy rozsπdek|-
madness|szaleÒstwo|-
common sense|zdrowy rozsπdek|-
haemorrhage|krwotok|-
novel|powieúÊ|-
volume|tom|-
to come out|ukazaÊ siÍ|o ksiπøce-
encyclopaedia|encyklopedia|-
cover|ok≥adka|-
poem|wiersz|-
the publishing house|wydawnictwo|-
edition|wydanie|-
textbook|podrÍcznik|-
short story|opowiadanie|-
a copy of the book|egzemplarz ksiπøki|-
poetry|poezja|-
hardback|twarda ok≥adka|-
paperback|miÍkka ok≥adka|-
spy|szpieg|-
journalist|dziennikarka|-
plumber|hydraulik|-
stockbroker|makler (gie≥dowy)|-
carpenter|stolarz|-
be made redundant|byÊ zwolnionym|-
unemployed|bezrobotny|-
retire|przechodziÊ na emeryturÍ|-
employer|pracodawca|-
employee|pracownik|-
to get a pay rise|dostaÊ podwyøkÍ|-
pension|emerytura|-
trade union|zwiπzek zawodowy|-
get the sack|dostaÊ zwolnienie z pracy|-
employ|zatrudniaÊ|-
employment|zatrudnienie|-
anguish |udrÍka|-
endowment|obdarowanie|-
well-being|pomyúlnoúÊ|-
suffering|cierpienie|-
tie|krawat|-
suit|garnitur|-
tracksuit|dres|-
waistcoat|kamizelka|vest-
polo neck|koszulka polo|turtleneck-
